"","Date","Longitude","Latitude","Code","station"
"121",2014-04-21 13:00:00,"72.575","-7.55","135869","GPS"
"122",2014-04-22 00:00:00,"72.475","-7.6","135869","GPS"
"123",2014-04-22 01:00:00,"72.475","-7.6","135869","GPS"
"124",2014-04-22 08:00:00,"72.425","-7.625","135869","GPS"
"125",2014-04-22 12:00:00,"72.425","-7.65","135869","GPS"
"126",2014-04-22 13:00:00,"72.425","-7.65","135869","GPS"
"127",2014-04-23 00:00:00,"72.4","-7.725","135869","GPS"
"128",2014-04-23 00:00:00,"72.4","-7.725","135869","GPS"
"129",2014-04-23 01:00:00,"72.4","-7.725","135869","GPS"
"130",2014-04-23 12:00:00,"72.425","-7.8","135869","GPS"
"131",2014-04-23 13:00:00,"72.425","-7.8","135869","GPS"
"132",2014-04-24 00:00:00,"72.4","-7.725","135869","GPS"
"133",2014-04-24 01:00:00,"72.4","-7.725","135869","GPS"
"134",2014-04-24 02:00:00,"72.4","-7.725","135869","GPS"
"135",2014-04-24 12:00:00,"72.4","-7.825","135869","GPS"
"136",2014-04-24 13:00:00,"72.4","-7.85","135869","GPS"
"137",2014-04-25 00:00:00,"72.375","-8.075","135869","GPS"
"138",2014-04-25 01:00:00,"72.375","-8.075","135869","GPS"
"139",2014-04-25 04:00:00,"72.375","-8.125","135869","GPS"
"140",2014-04-25 12:00:00,"72.375","-7.925","135869","GPS"
"141",2014-04-25 13:00:00,"72.4","-7.9","135869","GPS"
"142",2014-04-26 00:00:00,"73.375","-6.05","135869","GPS"
"143",2014-04-26 01:00:00,"73.4","-6.05","135869","GPS"
"144",2014-04-26 01:00:00,"73.4","-6.05","135869","GPS"
"145",2014-04-26 12:00:00,"72.2","-7.8","135869","GPS"
"146",2014-04-26 13:00:00,"72.2","-7.8","135869","GPS"
"147",2014-04-27 00:00:00,"72.15","-7.8","135869","GPS"
"148",2014-04-27 12:00:00,"72.125","-7.725","135869","GPS"
"149",2014-04-27 13:00:00,"72.125","-7.725","135869","GPS"
"150",2014-04-27 20:00:00,"72.075","-7.725","135869","GPS"
"151",2014-04-28 00:00:00,"72.075","-7.7","135869","GPS"
"152",2014-04-28 01:00:00,"72.075","-7.7","135869","GPS"
"153",2014-04-28 01:00:00,"72.075","-7.7","135869","GPS"
"154",2014-04-28 05:00:00,"72.1","-7.725","135869","GPS"
"155",2014-04-28 12:00:00,"72.2","-7.625","135869","GPS"
"156",2014-04-28 13:00:00,"72.2","-7.625","135869","GPS"
"157",2014-04-29 00:00:00,"72.4","-7.575","135869","GPS"
"158",2014-04-29 00:00:00,"72.4","-7.575","135869","GPS"
"159",2014-04-29 01:00:00,"72.4","-7.575","135869","GPS"
"160",2014-04-29 12:00:00,"72.6","-7.45","135869","GPS"
"161",2014-04-29 13:00:00,"72.625","-7.45","135869","GPS"
"162",2014-04-30 00:00:00,"72.85","-7.5","135869","GPS"
"163",2014-04-30 00:00:00,"72.85","-7.5","135869","GPS"
"164",2014-04-30 01:00:00,"72.85","-7.5","135869","GPS"
"165",2014-04-30 12:00:00,"72.625","-7.4","135869","GPS"
"166",2014-04-30 13:00:00,"72.625","-7.4","135869","GPS"
"167",2014-05-01 00:00:00,"72.6","-7.4","135869","GPS"
"168",2014-05-01 12:00:00,"72.575","-7.45","135869","GPS"
"169",2014-05-01 13:00:00,"72.575","-7.45","135869","GPS"
"170",2014-05-01 21:00:00,"72.575","-7.575","135869","GPS"
"171",2014-05-02 00:00:00,"72.575","-7.55","135869","GPS"
"172",2014-05-02 00:00:00,"72.575","-7.55","135869","GPS"
